"","Women","Number","Oldest.Youngest","Men","Number.1","Oldest.Youngest.1"
"90","Athena",5,"1992 2004 ","Avatanguaq",7,"1959 2008"
"91","Atsa",11,"1943 2000 ","Avatannguaq",7,"1991 2010"
"92","Augusta",61,"1918 2010 ","Avataq",6,"1962 2010"
"93","Augustine",44,"1926 2008 ","Avgo",21,"1946 2003"
"94","Aviaaja",74,"1973 2010 ","Axel",23,"1923 2008"
"95","Aviaja",68,"1958 2010 ","Barnabas",11,"1935 2010"
"96","Aviak",6,"1943 1987 ","Barselaj",16,"1928 2010"
"97","Aviana",31,"1972 2010 ","Bastian",7,"1991 2009"
"98","Aviaq",61,"1939 2010 ","Bendt",51,"1929 2010"
"99","Avijaja",7,"1965 2005 ","Benjamin",47,"1927 2010"
"100","Aviâja",14,"1970 2010 ","Benny",24,"1936 2006"
"101","Ayla",15,"1990 2010 ","Bent",98,"1934 2010"
"103","Batseba",29,"1929 2009 ","Bernhard",7,"1937 2008"
"104","Bea",12,"1957 2010 ","Bernhardt",11,"1943 2010"
"105","Beate",12,"1935 2002 ","Berthel",25,"1928 2009"
"106","Beathe",45,"1927 2010 ","Bianco",9,"1941 2009"
"107","Bebiane",57,"1927 2009 ","Birger",7,"1947 1986"
"108","Belinda",8,"1985 2009 ","Bjarke",8,"1952 2009"
"109","Bella",19,"1970 2010 ","Bjarne",50,"1937 2009"
"110","Benedikte",64,"1922 2009 ","Bjarni",6,"1949 1980"
"111","Benigne",62,"1926 2010 ","Bjørn",25,"1949 2006"
"112","Bente",19,"1950 2007 ","Bo",30,"1942 2010"
"113","Bera",8,"1930 2009 ","Boas",21,"1923 2010"
"114","Bergithe",7,"1930 2010 ","Boye",14,"1927 2009"
"115","Bertha",17,"1924 2001 ","Brian",104,"1949 2010"
"116","Berthe",18,"1931 2010 ","Bror",8,"1968 2010"
"117","Bertheline",19,"1921 2008 ","Bruno",20,"1946 2010"
"118","Betina",7,"1973 2004 ","Børge",16,"1932 2010"
"119","Bettina",13,"1964 2007 ","Carl",54,"1919 2010"
"120","Betty",5,"1962 2001 ","Carlo",18,"1946 2010"
"121","Bianca",6,"2000 2010 ","Carsten",44,"1943 2007"
"122","Bibi",21,"1959 2009 ","Casper",19,"1972 2009"
